,y1,y5,y22,p1,p5,p22
const,0.001125975395130526,0.0011259753951292422,0.0011259753951310702,0.056630376216565734,0.05663037621504818,0.0566303762162504
ma200,-6.133920617140806e-06,-6.133920617144921e-06,-6.133920617145893e-06,0.10399952460185971,0.10399952460086093,0.10399952460140631
ma22,0.00012480933875276507,0.00012480933875277047,0.0001248093387527559,0.07946028378778411,0.07946028378797425,0.0794602837879172
ma5,-0.00012547908807005525,-0.00012547908807005514,-0.0001254790880700494,0.06952862062607126,0.06952862062565912,0.06952862062629347
pa22,0.009824962197251307,0.009824962197249971,1.0098249621972528,0.0929171737799494,0.09291717377926462,0.0
pa5,-0.02130227711067598,0.9786977228893448,-0.021302277110680213,0.11203012863100596,1.1597493380635849e-49,0.11203012863066959
pa68,-0.008184923515988863,-0.008184923515986308,-0.00818492351598861,0.13477508266177277,0.13477508266186244,0.13477508266166274
